comment,user,date,rating
"Este producto es excelente, superó mis expectativas!",Juan,2024-01-15,5
"No me gustó nada, muy malo",María,2024-01-15,1
"El servicio fue rápido y eficiente",Carlos,2024-01-15,4
"Decepcionante, no vale la pena",Ana,2024-01-15,2
"Es un producto normal, nada especial",Pedro,2024-01-15,3
"Me encantó! Volveré a comprar",Laura,2024-01-15,5
"Terrible experiencia, atención al cliente horrible",Roberto,2024-01-15,1
"Está bien, cumple lo que promete",Sofia,2024-01-15,3
"Increíble! Mejor de lo esperado",Diego,2024-01-15,5
"No recomiendo, mala calidad",Elena,2024-01-15,1
"Excelente relación precio-calidad",Fernando,2024-01-15,4
"Frustrante, no funciona como se esperaba",Gabriela,2024-01-15,2
"Perfecto! Exactamente lo que buscaba",Hernán,2024-01-15,5
"Mediocre, hay mejores opciones",Isabel,2024-01-15,2
"Maravilloso, superó todas mis expectativas",Javier,2024-01-15,5
